X;CountryCode;IFAReg;OECD
Afghanistan;AFG;rest;Non-OECD
Aland Islands;ALA;rest;Non-OECD
Albania;ALB;Europe;Non-OECD
Algeria;DZA;ROW;Non-OECD
American Samoa;ASM;rest;Non-OECD
Andorra;AND;rest;Non-OECD
Angola;AGO;ROW;Non-OECD
Anguilla;AIA;rest;Non-OECD
Antarctica;ATA;rest;Non-OECD
Antigua and Barbuda;ATG;rest;Non-OECD
Argentina;ARG;ROW;Non-OECD
Armenia;ARM;ROW;Non-OECD
Aruba;ABW;rest;Non-OECD
Australia;AUS;Asia Pacific;OECD
Austria;AUT;Europe;OECD
Azerbaijan;AZE;ROW;Non-OECD
Bahamas;BHS;rest;Non-OECD
Bahrain;BHR;Middle East;Non-OECD
Bangladesh;BGD;Asia Pacific;Non-OECD
Barbados;BRB;rest;Non-OECD
Belarus;BLR;Europe;Non-OECD
Belgium;BEL;Europe;OECD
Belize;BLZ;rest;Non-OECD
Benin;BEN;ROW;Non-OECD
Bermuda;BMU;rest;Non-OECD
Bhutan;BTN;rest;Non-OECD
Bolivia, Plurinational State of;BOL;ROW;Non-OECD
Bonaire, Sint Eustatius and Saba;BES;rest;Non-OECD
Bosnia and Herzegovina;BIH;Europe;Non-OECD
Botswana;BWA;ROW;Non-OECD
Bouvet Island;BVT;rest;Non-OECD
Brazil;BRA;ROW;Non-OECD
British Indian Ocean Territory;IOT;rest;Non-OECD
Brunei Darussalam;BRN;Asia Pacific;Non-OECD
Bulgaria;BGR;Europe;Non-OECD
Burkina Faso;BFA;ROW;Non-OECD
Burundi;BDI;ROW;Non-OECD
Cambodia;KHM;Asia Pacific;Non-OECD
Cameroon;CMR;ROW;Non-OECD
Canada;CAN;North America;OECD
Cape Verde;CPV;ROW;Non-OECD
Cayman Islands;CYM;rest;Non-OECD
Central African Republic;CAF;ROW;Non-OECD
Chad;TCD;ROW;Non-OECD
Chile;CHL;ROW;OECD
China;CHN;Asia Pacific;Non-OECD
Christmas Island;CXR;rest;Non-OECD
Cocos (Keeling) Islands;CCK;rest;Non-OECD
Colombia;COL;ROW;OECD
Comoros;COM;ROW;Non-OECD
Congo;COG;ROW;Non-OECD
Congo, the Democratic Republic of the;COD;ROW;Non-OECD
Cook Islands;COK;rest;Non-OECD
Costa Rica;CRI;ROW;Non-OECD
Cote d Ivoire;CIV;ROW;Non-OECD
Croatia;HRV;Europe;Non-OECD
Cuba;CUB;ROW;Non-OECD
Curacao;CUW;ROW;Non-OECD
Cyprus;CYP;Europe;Non-OECD
Czech Republic;CZE;Europe;OECD
Denmark;DNK;Europe;OECD
Djibouti;DJI;ROW;Non-OECD
Dominica;DMA;rest;Non-OECD
Dominican Republic;DOM;ROW;Non-OECD
Ecuador;ECU;ROW;Non-OECD
Egypt;EGY;ROW;Non-OECD
El Salvador;SLV;ROW;Non-OECD
Equatorial Guinea;GNQ;ROW;Non-OECD
Eritrea;ERI;ROW;Non-OECD
Estonia;EST;Europe;OECD
Ethiopia;ETH;ROW;Non-OECD
Falkland Islands (Malvinas);FLK;rest;Non-OECD
Faroe Islands;FRO;rest;Non-OECD
Fiji;FJI;rest;Non-OECD
Finland;FIN;Europe;OECD
France;FRA;Europe;OECD
French Guiana;GUF;rest;Non-OECD
French Polynesia;PYF;rest;Non-OECD
French Southern Territories;ATF;rest;Non-OECD
Gabon;GAB;ROW;Non-OECD
Gambia;GMB;ROW;Non-OECD
Georgia;GEO;ROW;Non-OECD
Germany;DEU;Europe;OECD
Ghana;GHA;ROW;Non-OECD
Gibraltar;GIB;Europe;Non-OECD
Greece;GRC;Europe;OECD
Greenland;GRL;rest;Non-OECD
Grenada;GRD;rest;Non-OECD
Guadeloupe;GLP;rest;Non-OECD
Guam;GUM;rest;Non-OECD
Guatemala;GTM;ROW;Non-OECD
Guernsey;GGY;rest;Non-OECD
Guinea;GIN;ROW;Non-OECD
Guinea-Bissau;GNB;ROW;Non-OECD
Guyana;GUY;rest;Non-OECD
Haiti;HTI;ROW;Non-OECD
Heard Island and McDonald Islands;HMD;rest;Non-OECD
Holy See (Vatican City State);VAT;rest;Non-OECD
Honduras;HND;ROW;Non-OECD
Hong Kong;HKG;Asia Pacific;Non-OECD
Hungary;HUN;Europe;OECD
